DATE,revenue,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,search_S,competitor_sales_B,facebook_S,events,newsletter,cpi,cci,gdp,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,new_years,mothers_day,fathers_day,christmas
10/15/2018,2813106.67,133468.56,189321.6,3117.333333,35763073.02,91340.17513,38280,8364119,7327.759899,0,49409,252.885,101.490,208.193,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10/22/2018,2665110.00,0,0,0,0,97560.56537,40480,8898789,0,0,49575,252.885,101.490,208.193,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10/29/2018,2947875.00,75869.92,0,6384.4,91549168.79,122740.6477,41400,8887808,23795.42848,0,42276,252.885,101.490,208.193,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11/5/2018,2768941.67,0,436176,4366.533333,0,118564.7178,42160,8982377,0,0,25332,252.280,101.413,208.654,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/12/2018,2666240.00,172052.76,0,0,117062263.8,0,0,7958631,26185.42459,0,19401.65385,252.038,101.382,208.839,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/19/2018,2559550.00,0,141160,0,0,0,0,8467716,0,0,19401.65385,252.038,101.382,208.839,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/26/2018,2653766.67,160575.6,0,45388.4,65751650.87,156564.3846,48000,7536793,21010.78532,0,301,252.038,101.382,208.839,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12/3/2018,2144703.33,0,160676.8,0,0,114123.5145,41960,7097277,0,0,34832,251.693,101.309,209.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/10/2018,2451681.67,0,0,18848,0,151823.0073,47320,7989344,0,0,68792,251.233,101.212,209.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/2018,2469486.67,0,46091.2,0,0,114071.9284,46640,8215719,0,0,37199,251.233,101.212,209.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/24/2018,3208150.00,474139.72,0,22355.86667,96601553.4,150402.9825,51440,8125604,27204.02222,0,80865,251.233,101.212,209.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/31/2018,2746851.67,154139.72,0,0,0,104634.4757,43480,7314043,0,0,54011,251.233,101.212,209.485,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/7/2019,2566165.00,0,988.8,2710.8,19817822.4,121001.5989,51080,8498273,4427.444333,0,96236,251.712,101.008,210.131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/14/2019,2554828.33,34751.92,0,2205.333333,0,111908.3588,48880,8027598,0,0,80627,251.712,101.008,210.131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/21/2019,1959706.67,0,81825.6,8760.666667,31145830.82,117177.8884,41440,6399576,8584.506608,0,629,251.712,101.008,210.131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/2019,2424486.67,95029.2,0,0,0,118231.1025,45600,7415825,0,0,19984,251.712,101.008,210.131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/2019,1953060.00,0,0,12816.13333,0,141999.145,41760,6396016,0,0,55736,252.320,101.039,210.625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/11/2019,2086935.00,38168.52,0,3575.733333,24004461.65,0,0,6492811,6330.935898,0,19401.65385,252.776,101.062,210.995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/2019,1675816.67,0,0,1505.066667,0,0,0,5588194,0,0,19401.65385,252.776,101.062,210.995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/25/2019,1976413.33,54362.88,92649.6,1937.466667,1532956.8,88530.39409,36560,6078682,0,0,46243,252.776,101.062,210.995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4/2019,1480760.00,0,0,0,0,74092.1597,29840,4933396,0,0,36979,253.591,101.186,211.489,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2019,1425500.00,16470.96,0,0,0,82059.78347,27120,4597321,0,0,23990,254.202,101.279,211.860,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/18/2019,1156860.00,0,0,0,83179409.76,55251.91752,21480,3818999,18362.22735,0,16046,254.202,101.279,211.860,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2019,1252230.00,10450.16,17296,0,0,70906.04073,23920,4083211,0,0,28980,254.202,101.279,211.860,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2019,1209373.33,0,0,0,35494120.25,73888.38653,23640,4017170,9925.966347,0,7453,254.394,101.302,211.983,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4/8/2019,1183801.67,143669.44,6171.2,0,0,67424.7476,22360,3588301,0,0,37507,255.548,101.439,212.724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4/15/2019,918593.33,0,0,8988.666667,0,65246.24575,19200,3026520,0,0,43718,255.548,101.439,212.724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4/22/2019,2303595.00,14635.2,0,0,19361443.73,51481.45989,18800,3140648,4790.791785,1,1167,255.548,101.439,212.724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4/29/2019,890675.00,0,0,37397.73333,31687579.01,55800.88355,16880,2828444,7539.372366,0,1546,255.548,101.439,212.724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5/6/2019,989913.33,11087.68,0,0,0,56108.46853,21840,3221944,0,0,34861,256.014,101.514,213.466,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5/13/2019,915791.67,0,0,6371.2,65207240.82,0,0,2992910,19365.17519,0,19401.65385,256.092,101.526,213.589,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/20/2019,746205.00,87721.16,17307.2,11368.66667,0,0,0,2251073,0,0,19401.65385,256.092,101.526,213.589,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/27/2019,723785.00,0,11003.2,0,0,40124.09528,15640,2412562,0,0,21000,256.092,101.526,213.589,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6/3/2019,903125.00,0,0,4175.733333,0,54839.69036,18600,2989592,0,0,19903,256.114,101.486,213.960,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
6/10/2019,672250.00,0,0,0,3909308.617,30502.69153,12440,2240235,148.5858155,0,8031,256.143,101.433,214.454,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6/17/2019,739783.33,0,0,0,0,36154.65428,14440,2467712,0,0,20173,256.143,101.433,214.454,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6/24/2019,831833.33,18481.44,0,0,0,48423.86191,14800,2672133,0,0,26938,256.143,101.433,214.454,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7/1/2019,939896.67,0,0,0,0,48153.03819,19160,3132194,0,0,8713,256.204,101.400,214.577,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/8/2019,946510.00,15811.08,0,0,0,45335.22282,18400,3060018,0,0,17384,256.571,101.202,215.318,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/15/2019,1063913.33,0,199395.2,0,0,76716.4668,23160,3505139,0,0,4153,256.571,101.202,215.318,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/22/2019,1278223.33,36148.52,0,0,29956231.06,77347.91665,25560,4004072,8580.424053,0,25861,256.571,101.202,215.318,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/29/2019,1500828.33,0,115297.6,0,0,75327.0771,28560,4982078,0,0,1820,256.571,101.202,215.318,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8/5/2019,1843118.33,39029.92,0,0,178298272.9,104317.9339,32440,5672763,46201.17422,0,40473,256.562,100.991,215.734,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8/12/2019,1443773.33,0,101840,0,0,0,0,4783227,0,0,19401.65385,256.558,100.907,215.901,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8/19/2019,1397435.00,0,0,9660.8,98316054.59,0,0,4520254,29234.75343,0,19401.65385,256.558,100.907,215.901,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8/26/2019,1930413.33,0,115566.4,0,0,113575.4021,38960,6397749,0,0,48083,256.558,100.907,215.901,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9/2/2019,2106968.33,679.24,0,41193.46667,40745397.76,117697.7752,38400,6637702,12113.87595,0,34061,256.615,100.907,216.067,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/9/2019,2233758.33,147803.4,12734.4,0,0,137929.6683,41280,6774864,0,0,31325,256.759,100.907,216.483,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/16/2019,2575148.33,0,34385.6,43812.93333,18984811.7,155722.9863,48280,8116568,3992.652158,0,70417,256.759,100.907,216.483,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/23/2019,2510951.67,83450.84,0,0,0,145612.5413,46280,7702931,0,0,50905,256.759,100.907,216.483,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/30/2019,2275620.00,0,94366.4,58826.8,0,129677.5559,44040,7060116,0,0,79428,256.759,100.907,216.483,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10/7/2019,2505161.67,57791.84,0,0,141452747.1,127530.2265,46040,7603752,41579.38103,0,58284,257.346,101.109,217.065,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10/14/2019,2456240.00,0,96692.8,61489.46667,0,152840.3234,44840,7612762,0,0,28157,257.346,101.109,217.065,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10/21/2019,2182825.00,61967.04,0,0,56881962.24,103680.0478,41480,6701667,13362.45755,0,10644,257.346,101.109,217.065,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10/28/2019,2377706.67,8793,22550.4,6990.4,0,138387.7041,45880,7688920,0,0,9597,257.346,101.109,217.065,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11/4/2019,2732825.00,8981.2,0,9620.533333,0,151707.9905,53640,8815710,0,0,90189,257.267,101.262,216.744,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/11/2019,2767788.33,0,0,0,127981119.8,0,0,9067759,36619.07594,0,19401.65385,257.208,101.376,216.504,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
